idVotacao,dataHoraVoto,voto,deputado_id,deputado_nome,deputado_siglaPartido,deputado_siglaUf,tema
2226362-7,2019-10-30 20:55:47,Sim,90201,Pedro Augusto Bezerra,PTB,CE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:47,Sim,204538,Paulo Bengtson,PTB,PA,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:47,Sim,204482,Euclydes Pettersen,PSC,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:48,Sim,204504,Cezinha de Madureira,PSD,SP,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:48,Sim,98057,Lafayette de Andrada,REPUBLICANOS,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:48,Sim,73701,Benedita da Silva,PT,RJ,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:52,Sim,178895,Misael Varella,PSD,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:52,Sim,146788,Marcelo Aro,PP,MG,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:54,Sim,160552,Danrlei de Deus Hinterholz,PSD,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:58,Sim,204376,Coronel Armando,PSL,SC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:55:59,Sim,143084,Tiago Dimas,SOLIDARIEDADE,TO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:00,Sim,178916,Daniel Coelho,CIDADANIA,PE,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:01,Obstrução,204407,Fernanda Melchionna,PSOL,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:01,Sim,204389,Elias Vaz,PSB,GO,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:03,Sim,75431,Maurício Dziedricki,PTB,RS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:03,Sim,204471,Mara Rocha,PSDB,AC,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:05,Sim,160587,Fábio Trad,PSD,MS,Finanças Públicas e Orçamento
2226362-7,2019-10-30 20:56:06,Sim,178939,Clarissa Garotinho,PROS,RJ,Finanças Públicas e Orçamento
