uriProposicao,siglaTipo,numero,ano,codTema,tema,relevancia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295141,REP,35,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/306502,SIT,35,2005.0,34,Administração Pública,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/306502,SIT,35,2005.0,54,"Energia, Recursos Hídricos e Minerais",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/306502,SIT,35,2005.0,70,Finanças Públicas e Orçamento,0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295142,REP,36,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295142,REP,36,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/310163,SIT,36,2005.0,44,Direitos Humanos e Minorias,3
https://dadosabertos.camara.leg.br/api/v2/proposicoes/310163,SIT,36,2005.0,53,Processo Legislativo e Atuação Parlamentar,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/274845,MSC,36,2005.0,55,Relações Internacionais e Comércio Exterior,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295143,REP,37,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295143,REP,37,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295336,REP,38,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295336,REP,38,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295337,REP,39,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/282311,RIC,39,2005.0,61,"Viação, Transporte e Mobilidade",0
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295338,REP,40,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295338,REP,40,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295339,REP,41,2005.0,53,Processo Legislativo e Atuação Parlamentar,4
https://dadosabertos.camara.leg.br/api/v2/proposicoes/295339,REP,41,2005.0,34,Administração Pública,2
https://dadosabertos.camara.leg.br/api/v2/proposicoes/299476,REP,42,2005.0,53,Processo Legislativo e Atuação Parlamentar,5
